Age,ArenaSize,Paternity,Treatment,TotDist,MeanVel,MeanTimeZ1,FreqZ1,CumDurZ1,LatencyZ1,CumDur%Z1,MeanTimeZ2,MeanTimeZ2Zero,FreqZ2,CumDurZ2,LatencyZ2,LatencyZ2360,CumDur%Z2,MeanMeander,TotMeander,FreqZAlter,FreqTransZ1>Z2,FreqTransZ2>Z1,MeanTurnAngle,VarTurnAngle,MeanAngVel,Mean%Activ,Tot%Act,Mean%Mobility
21,58,27,0,205927,571.918,16.7443,21,351.63,0,97.3065,0.33333,0.33333,3,0.99999,73.7326,73.7326,0.276727,0.971485,10457.1,3,2,1,0.00987183,5744.1,0.296158,0.0338987,366.173,6.78541
21,58,27,0,169545,475.72,23.2422,11,255.664,0,71.0119,8.54714,8.54714,12,102.566,10.8666,10.8666,28.4881,0.440785,4690.39,16,8,8,0.368977,5102.82,11.0694,0.033463,357.786,6.99709
21,58,27,0,872.986,2.50405,15.3868,23,353.896,0,98.2965,0,0,0,0,0,360,0,-94.9148,-981894,0,0,0,-3.93169,6276.36,-117.952,0.0273451,286.003,5.45098
21,58,27,0,3607.63,10.3184,6.6478,39,259.264,0,71.9719,2.26426,2.26426,42,95.099,4.83329,4.83329,26.3996,-71.0307,-737937,11,6,5,-1.22333,1106.75,-36.7003,0.0861303,903.42,15.9587
21,58,27,0,1204.66,3.47336,11.2199,30,336.597,0,93.4308,1.90368,1.90368,9,17.1332,79.1992,79.1992,4.75574,-46.2426,-475050,2,1,1,-0.283167,6585.94,-8.49509,0.0453255,471.612,6.7302
21,58,27,0,2599.26,7.26058,12.0755,26,313.964,0,87.1807,2.50738,2.50738,18,45.1329,20.6665,20.6665,12.5324,-9.01946,-96688.6,9,5,4,0.176214,2045.51,5.28646,0.0663524,712.625,13.6964
21,58,24,0,2247.85,6.28189,11.0499,22,243.098,0,67.484,5.82494,5.82494,20,116.499,38.8996,38.8996,32.3401,21.3896,228848,5,3,2,0.255737,2726.42,7.67219,0.0363073,389.759,10.5307
49,58,27,0,5623.55,15.8322,13.0612,25,326.53,1.89998,90.6869,2.09553,2.09553,15,31.433,0,360,8.72986,4.15519,44040.8,2,1,1,0.271993,456.741,8.15988,0.314865,3355.2,14.7028
49,58,27,0,4557.1,12.9452,8.92848,35,312.497,0,86.7413,2.07934,2.07934,21,43.6662,5.36661,5.36661,12.1207,-5.60026,-58651.5,5,3,2,-0.311959,1539.46,-9.35886,0.217662,2298.73,11.319
77,89,27,0,938374,2607.34,119.665,3,358.996,0,99.6208,0.683326,0.683326,2,1.36665,2.39998,2.39998,0.379243,0.013281,143.301,4,2,2,-0.476313,610.796,-14.2895,0.441563,4767.56,19.4775
77,89,27,0,811458,2254.49,180.048,2,360.096,0,99.9352,0.233331,0.233331,1,0.233331,27.7664,27.7664,0.0647549,0.270861,2923.4,2,1,1,-0.102223,1904.52,-3.06672,0.372922,4026.82,16.9646
14,58,316,0,1472.21,4.17614,19.385,18,348.93,1.29999,96.595,1.96665,1.96665,3,5.89994,21.6998,21.6998,1.63329,-68.4772,-713601,6,3,3,-1.25079,8894.06,-37.5241,0.0240174,254.08,9.86434
14,58,316,0,172.163,0.637018,27.2731,10,272.731,0,99.3443,0,0,0,0,0,360,0,248.093,1996650,0,0,0,2.31694,16361.9,69.509,0.000280188,2.27177,5.15541
14,58,316,0,520.695,1.5052,9.17919,37,339.63,0,94.264,12.8665,12.8665,1,12.8665,134.732,134.732,3.5711,-570.352,-5842120,2,1,1,-0.730139,11826.6,-21.9044,0.00795915,82.6,7.43803
14,58,316,0,916.602,2.57716,16.8332,21,353.496,0,98.149,1.48332,1.48332,2,2.96664,236.131,236.131,0.823693,-287.719,-3056440,4,2,2,-0.026819,12396.2,-0.804577,0.0134969,144.012,8.17392
14,58,316,0,847.017,2.62373,9.67049,34,328.797,0,91.3164,2.07665,2.07665,10,20.7665,171.465,171.465,5.76745,-457.441,-4197940,4,2,2,0.552132,10694.6,16.5641,0.0208947,202.365,8.05057
14,58,316,0,1614.45,4.96454,27.4766,13,357.196,0,99.1488,0.899991,0.899991,1,0.899991,267.831,267.831,0.249815,-188.844,-1711490,2,1,1,-1.49462,6364.95,-44.8389,0.0351828,343.244,16.1643
14,58,316,0,243.865,0.712576,29.9303,12,359.163,0,99.7224,0,0,0,0,0,360,0,228.68,2278340,0,0,0,2.79794,14893.2,83.9392,0.00370239,38.0125,4.12885
14,58,316,0,475.914,1.3231,56.705,6,340.23,0,94.483,6.55549,6.55549,3,19.6665,172.165,172.165,5.46145,60.306,650460,1,1,0,0.0745842,8652.62,2.23755,0.0092877,100.224,6.15821
14,58,32,0,2516.17,7.02651,8.59575,40,343.83,0,95.4121,1.02499,1.02499,4,4.09996,53.2661,53.2661,1.13773,-166.882,-1787640,3,2,1,-0.309896,2863.77,-9.29699,0.0521877,560.653,17.6927
14,58,32,0,266.418,0.760333,44.8121,8,358.496,0,99.482,0,0,0,0,0,360,0,-379.207,-3933140,0,0,0,-0.848266,10488.2,-25.4482,0.00717776,75.4526,4.87322
14,58,32,0,540.929,1.70516,29.0942,12,349.13,0,96.9456,3.27774,3.27774,3,9.83324,63.366,63.366,2.73047,24.9134,214978,4,2,2,1.18738,6706.49,35.6219,0.015342,146.01,7.3424
14,58,32,0,660.366,1.83454,32.0597,10,320.597,0,88.9649,8.67491,8.67491,4,34.6997,72.7659,72.7659,9.62908,349.667,3774300,1,1,0,1.04557,7763.46,31.3674,0.015682,169.35,7.51377
14,58,32,0,329.694,0.948132,25.5597,10,255.597,0,70.9737,17.3776,17.3776,6,104.266,52.5328,52.5328,28.9522,-112.481,-1153160,3,2,1,0.269224,6156.68,8.0768,0.0126306,131.763,5.80915
14,58,314,0,482.387,1.34022,85.6741,4,342.697,15.3665,95.1064,4.40829,4.40829,4,17.6332,0,0,4.89362,194.989,2104520,1,0,1,-0.85721,8143.07,-25.7166,0.0130505,140.919,4.68034
14,58,314,0,4647.83,12.9383,10.8051,32,345.763,0,96.0107,1.17499,1.17499,8,9.39991,29.2997,29.2997,2.61014,10.1099,108843,1,1,0,0.031606,1805.93,0.94819,0.111276,1200.45,24.4057
14,58,318,0,236.834,0.658549,360.13,1,360.13,0,100,0,0,0,0,0,360,0,601.669,6487200,0,0,0,1.04028,10692.2,31.2087,0.00602056,64.9558,4.16139
14,58,318,0,822.033,2.28387,22.1069,14,309.497,0,85.8927,5.5518,5.5518,9,49.9662,5.29995,5.29995,13.8668,221.19,2387080,1,1,0,-0.103019,9080.04,-3.0906,0.0181835,196.346,7.28048
14,58,318,0,714.14,1.98411,49.2709,7,344.897,0,95.7169,4.98884,4.98884,3,14.9665,88.0325,88.0325,4.15356,-237.19,-2559990,1,1,0,0.39154,10096.8,11.7463,0.0152091,164.228,6.25455
14,58,33,5,797.722,2.21715,23.551,13,306.164,0,84.9755,4.16406,4.16406,13,54.1328,101.532,101.532,15.0245,-75.9061,-818723,1,1,0,-0.453933,5855.93,-13.6181,0.0228326,246.455,8.35473
14,58,33,5,419.955,1.16764,96.9213,3,290.764,0,80.7536,34.6497,34.6497,2,69.2993,117.132,117.132,19.2464,-287.602,-3101790,1,1,0,-0.33563,11513.5,-10.069,0.014752,159.174,5.80749
14,58,33,5,875.395,2.44185,14.9862,22,329.697,0,91.4394,5.70661,5.70661,5,28.533,153.165,153.165,7.91347,-107.123,-1149110,2,1,1,-2.20663,12052.9,-66.1994,0.0144155,155.039,5.92685
14,58,33,5,844.351,2.69706,17.4928,19,332.363,0,92.1534,3.39163,3.39163,8,27.1331,203.765,203.765,7.52311,205.37,1806430,5,3,2,0.855721,2983.66,25.6719,0.0324527,304.796,9.93743
14,58,31,5,556.662,1.65708,42.4704,8,339.763,0,94.3272,4.07329,4.07329,5,20.3665,127.865,127.865,5.65427,119.32,1162530,3,2,1,0.0322823,8020.92,0.968478,0.0203117,204.701,6.85265
14,58,31,5,2073.47,5.77252,14.3832,22,316.43,0,87.8168,4.25996,4.25996,10,42.5996,11.2666,11.2666,11.8224,33.9653,365330,2,1,1,-0.767267,2022.45,-23.0182,0.0407935,439.999,20.2007
14,58,31,5,421.694,1.17193,360.296,1,360.296,0,100,0,0,0,0,0,360,0,214.128,2310230,0,0,0,0.526034,9465.87,15.7812,0.00897462,96.881,6.09111
14,58,313,5,1655.59,4.59976,18.2018,17,309.43,0,85.8742,3.90253,3.90253,13,50.7328,83.0325,83.0325,14.0796,-35.6168,-384412,1,1,0,-0.304044,3640.3,-9.1214,0.0301545,325.608,13.7595
14,58,313,5,2756.33,7.69358,19.6924,18,354.463,0,98.3628,0.633327,0.633327,6,3.79996,42.0329,42.0329,1.05448,180.18,1933870,3,2,1,0.357283,3893.4,10.7186,0.0646739,697.378,20.872
14,58,313,5,1215.08,3.37619,56.855,6,341.13,0,94.6804,3.83329,3.83329,5,19.1665,46.7995,46.7995,5.31964,128.736,1389320,1,1,0,0.543789,7230.74,16.3138,0.0297381,321.082,10.5834
14,58,37,25,647.368,1.82308,24.1459,13,313.897,0,87.1783,5.54994,5.54994,8,44.3996,54.1328,54.1328,12.331,-42.6101,-448343,4,2,2,-1.31975,12504.1,-39.5928,0.0322915,344.002,7.76565
14,58,37,25,399.3,1.11062,178.198,2,356.396,0,98.9633,3.7333,3.7333,1,3.7333,6.73327,6.73327,1.03665,-241.945,-2606230,1,1,0,-0.905468,10738.2,-27.1643,0.00789751,85.1826,5.28191
14,58,37,25,402.08,1.12503,44.9662,8,359.73,0,99.8889,0,0,0,0,0,360,0,347.705,3715230,0,0,0,0.16741,10639.5,5.02234,0.0145674,156.192,5.26209
14,58,318,25,1317.67,3.67214,15.9015,20,318.03,0,88.3262,3.12817,3.12817,13,40.6663,68.466,68.466,11.2942,350.184,3762020,3,2,1,0.43911,4861.32,13.1734,0.0339612,365.66,9.42765
14,58,318,25,487.165,1.35551,179.215,2,358.43,0,99.5372,1.66665,1.66665,1,1.66665,329.163,329.163,0.462834,-356.323,-3837240,1,1,0,-0.0369537,8976.07,-1.10862,0.00960881,103.602,5.68272
14,58,313,25,2626.82,7.31372,29.4192,12,353.03,0,97.9741,0.713326,0.713326,10,7.13326,118.032,118.032,1.97965,83.3168,895739,3,2,1,0.538934,5782.08,16.1682,0.0528054,568.978,16.1696
14,58,313,25,2110.63,5.86836,50.7185,7,355.03,0,98.6021,0.838881,0.838881,6,5.03328,44.9329,44.9329,1.39789,-140.631,-1516430,1,1,0,-0.833791,5283.58,-25.014,0.041992,453.094,12.6752
14,58,313,25,141.101,0.398108,88.9158,4,355.663,0,98.7689,0,0,0,0,0,360,0,-347.009,-3684890,0,0,0,0.711847,16971.9,21.3556,0.00020269,2.16027,4.27198
14,58,313,25,762.315,2.11796,59.4938,6,356.963,0,99.0657,0.673327,0.673327,5,3.36663,49.1995,49.1995,0.93432,542.7,5857360,1,1,0,0.684302,7828.05,20.5293,0.0119236,128.751,6.47475
14,58,313,25,1242.36,3.45424,38.307,9,344.763,7.99992,95.7331,1.89165,1.89165,8,15.1332,0,0,4.20215,-249.854,-2694180,1,0,1,0.770642,6659.51,23.1195,0.0215664,232.702,9.74671
21,58,316,0,1194.53,3.32063,29.7573,11,327.33,0,90.8923,3.637,3.637,9,32.733,172.565,172.565,9.08923,257.345,2775980,1,1,0,0.148918,5936.95,4.46759,0.034015,367.09,7.94802
21,58,316,0,438.035,1.21802,360.096,1,360.096,0,100,0,0,0,0,0,360,0,-191.091,-2060350,0,0,0,-0.514672,11366.8,-15.4403,0.0147134,158.743,4.95452
21,58,316,0,694.829,1.93135,180.032,2,360.063,0,99.9722,0,0,0,0,0,360,0,-641.639,-6922010,0,0,0,-2.71364,14337.5,-81.41,0.0118345,127.73,4.84755
21,58,316,0,227.196,0.632512,119.921,3,359.763,0,99.9074,0.299997,0.299997,1,0.299997,159.198,159.198,0.0833102,412.573,4435160,2,1,1,2.89493,13800.8,86.8486,0.00293857,31.666,3.14946
21,58,32,0,1970.28,5.48269,38.8033,9,349.23,0,96.9913,1.35415,1.35415,8,10.8332,138.532,138.532,3.0087,34.9034,375665,1,1,0,0.969434,4359.04,29.0833,0.0591817,638.038,13.3875
21,58,32,0,1769.16,4.45637,78.1726,5,390.863,0,98.3395,1.64998,1.64998,4,6.59993,107.199,107.199,1.66052,-132.209,-1573690,1,1,0,-0.656799,2256.66,-19.7042,0.0648716,772.621,11.0961
21,58,32,0,642.679,1.78606,48.0995,7,336.697,0,93.4499,3.93329,3.93329,6,23.5998,61.2327,61.2327,6.5501,-75.3269,-812702,1,1,0,-0.608652,5655.3,-18.2598,0.0323695,349.429,6.74256
21,58,31,0,1177.57,3.27561,59.3716,6,356.23,0,98.8896,0.799992,0.799992,5,3.99996,118.832,118.832,1.11039,-584.204,-6291290,1,1,0,0.947978,10054.9,28.4396,0.0433773,467.824,7.23713
21,58,314,0,1245,3.46897,46.5567,7,325.897,0,90.511,6.81327,6.81327,5,34.0663,136.399,136.399,9.46121,-712.506,-7657300,2,1,1,-0.681317,7178.83,-20.4397,0.0475212,511.66,7.50647
21,58,318,0,304.933,0.848695,119.932,3,359.796,0,99.852,0,0,0,0,0,360,0,-12.2798,-132204,0,0,0,-0.227179,13058.2,-6.81542,0.00669184,72.1314,3.96107
21,58,318,0,752.011,2.09184,39.7848,9,358.063,0,99.3801,0.327774,0.327774,6,1.96665,81.7992,81.7992,0.545841,424.121,4570330,1,1,0,0.791913,15360.6,23.7576,0.0142099,153.254,5.04998
21,58,318,0,1911.57,5.31786,38.1292,9,343.163,0,95.3241,3.3333,3.3333,5,16.6665,6.99993,6.99993,4.62963,-284.245,-3061890,1,1,0,-0.202829,5689.73,-6.08494,0.0762405,822.177,12.4367
21,58,31,5,630.92,1.7555,66.906,5,334.53,0,92.84,5.15995,5.15995,5,25.7997,121.232,121.232,7.16004,-55.623,-598671,1,1,0,0.246724,6907.39,7.4018,0.0337999,364.431,6.20932
21,58,31,5,3608.55,9.93826,27.3331,13,355.33,0,97.7354,0.686104,0.686104,12,8.23325,32.1663,32.1663,2.2646,-66.5788,-724777,1,1,0,-0.2337,3624.37,-7.01107,0.111826,1218.12,15.1895
21,58,31,5,347.356,0.973451,27.7573,11,305.33,0,84.7913,13.4332,13.4332,4,53.7328,179.165,179.165,14.9218,-349.129,-3719620,2,1,1,-0.975265,11996.9,-29.2583,0.0109289,116.993,4.00302
21,58,31,5,488.356,1.37141,15.111,21,317.33,0,88.1155,4.58884,4.58884,9,41.2996,9.49991,9.49991,11.468,60.1321,639385,2,1,1,0.868306,5690.09,26.0494,0.0200117,213.785,6.25332
21,58,33,5,2537.98,7.05721,18.872,18,339.697,1.59998,94.3262,1.13517,1.13517,18,20.4331,0,0,5.67382,-22.6903,-244624,1,0,1,0.339233,1421.21,10.1771,0.0921817,994.549,12.9331
21,58,33,5,2544.01,7.11153,19.4368,18,349.863,0,97.0863,0.852769,0.852769,12,10.2332,23.3664,23.3664,2.8397,-3.1153,-33274.5,6,3,3,0.1436,3890.01,4.30803,0.0679209,728.927,15.6152
21,58,33,5,1078.12,2.99703,44.2662,8,354.13,0,98.334,0.857134,0.857134,7,5.99994,28.633,28.633,1.66605,-463.195,-4996480,1,1,0,0.072823,3967.34,2.18471,0.0416252,449.219,7.25874
21,58,33,5,1945.29,5.36341,59.2605,6,355.563,0,97.9253,1.50665,1.50665,5,7.53326,31.833,31.833,2.07473,-63.875,-694705,1,1,0,-0.544255,1639.38,-16.3278,0.0700638,762.364,14.4506
21,58,313,5,872.989,2.42567,47.7567,7,334.297,0,92.7838,4.33329,4.33329,6,25.9997,128.165,128.165,7.21621,156.666,1690740,1,1,0,0.269374,5940.81,8.0813,0.0283835,306.457,7.06416
21,58,313,5,1860.86,5.17918,19.1194,17,325.03,0,90.2536,3.06664,3.06664,11,33.733,146.132,146.132,9.3669,-139.1,-1497000,1,1,0,0.299481,4445.19,8.98453,0.0541813,584.02,9.52674
14,58,39,5,977.078,2.71438,26.5459,13,345.097,0,95.7636,1.27221,1.27221,12,15.2665,63.7994,63.7994,4.23643,765.581,8262910,1,1,0,1.30872,11577,39.2621,0.018538,200.192,6.88542
14,58,39,5,2712.66,7.54224,14.6607,23,337.197,0,93.6493,2.32914,2.32914,8,18.6331,32.7663,32.7663,5.17497,225.166,2428420,1,1,0,1.07462,3003.14,32.2389,0.0572547,617.779,13.7419
14,58,39,5,3298.1,9.17934,35.5396,10,355.396,0,98.6948,0.522217,0.522217,9,4.69995,46.8995,46.8995,1.30519,17.4924,188323,1,1,0,0.0984997,3686.95,2.95502,0.0654166,705.125,16.9263
14,58,39,5,2410.2,6.69196,50.9138,7,356.396,0,98.8261,0.833325,0.833325,5,4.16662,170.732,170.732,1.15537,175.602,1896320,1,1,0,-0.647707,3095.55,-19.4314,0.063171,682.563,13.3229
14,58,39,5,415.781,1.15539,180.065,2,360.13,0,99.963,0.133332,0.133332,1,0.133332,348.697,348.697,0.0370096,175.79,1896950,1,1,0,1.21458,12419.7,36.4377,0.00773641,83.5223,4.37677
14,58,318,5,245.953,0.683778,360.096,1,360.096,0,100,0,0,0,0,0,360,0,-234.823,-2532800,0,0,0,1.11206,11645.4,33.362,0.00673103,72.6345,4.47171
14,58,318,5,1225.97,3.40866,89.1658,4,356.663,0,99.0557,1.13332,1.13332,3,3.39997,114.166,114.166,0.94427,-64.3085,-693567,1,1,0,1.01194,5058.71,30.3585,0.0227536,245.512,9.29067
14,58,318,5,731.602,2.03413,36.6182,9,329.563,0,91.5293,4.99439,4.99439,6,29.9664,101.466,101.466,8.32253,289.713,3124550,1,1,0,0.626166,10408.4,18.7852,0.013297,143.475,9.19579
14,58,318,5,1113.7,3.09621,53.605,6,321.63,0,89.3178,7.69326,7.69326,5,38.4663,41.5329,41.5329,10.6822,107.257,1156870,1,1,0,0.101747,5388.85,3.05243,0.0251491,271.383,12.3268
