Age,ArenaSize,Paternity,Treatment,TotDist,MeanVel,LatencyZ2360,CumDur%Z2,MeanMeander,FreqZAlter,FreqTransZ1>Z2,MeanTurnAngle,MeanAngVel,Mean%Activ,Mean%Mobility
21,58,27,0,205927,571.918,73.7326,0.276727,0.971485,3,2,0.00987183,0.296158,0.0338987,6.78541
21,58,27,0,169545,475.72,10.8666,28.4881,0.440785,16,8,0.368977,11.0694,0.033463,6.99709
21,58,27,0,872.986,2.50405,360,0,-94.9148,0,0,-3.93169,-117.952,0.0273451,5.45098
21,58,27,0,3607.63,10.3184,4.83329,26.3996,-71.0307,11,6,-1.22333,-36.7003,0.0861303,15.9587
21,58,27,0,1204.66,3.47336,79.1992,4.75574,-46.2426,2,1,-0.283167,-8.49509,0.0453255,6.7302
21,58,27,0,2599.26,7.26058,20.6665,12.5324,-9.01946,9,5,0.176214,5.28646,0.0663524,13.6964
21,58,24,0,2247.85,6.28189,38.8996,32.3401,21.3896,5,3,0.255737,7.67219,0.0363073,10.5307
49,58,27,0,5623.55,15.8322,360,8.72986,4.15519,2,1,0.271993,8.15988,0.314865,14.7028
49,58,27,0,4557.1,12.9452,5.36661,12.1207,-5.60026,5,3,-0.311959,-9.35886,0.217662,11.319
77,89,27,0,938374,2607.34,2.39998,0.379243,0.013281,4,2,-0.476313,-14.2895,0.441563,19.4775
77,89,27,0,811458,2254.49,27.7664,0.0647549,0.270861,2,1,-0.102223,-3.06672,0.372922,16.9646
14,58,316,0,1472.21,4.17614,21.6998,1.63329,-68.4772,6,3,-1.25079,-37.5241,0.0240174,9.86434
14,58,316,0,172.163,0.637018,360,0,248.093,0,0,2.31694,69.509,0.000280188,5.15541
14,58,316,0,520.695,1.5052,134.732,3.5711,-570.352,2,1,-0.730139,-21.9044,0.00795915,7.43803
14,58,316,0,916.602,2.57716,236.131,0.823693,-287.719,4,2,-0.026819,-0.804577,0.0134969,8.17392
14,58,316,0,847.017,2.62373,171.465,5.76745,-457.441,4,2,0.552132,16.5641,0.0208947,8.05057
14,58,316,0,1614.45,4.96454,267.831,0.249815,-188.844,2,1,-1.49462,-44.8389,0.0351828,16.1643
14,58,316,0,243.865,0.712576,360,0,228.68,0,0,2.79794,83.9392,0.00370239,4.12885
14,58,316,0,475.914,1.3231,172.165,5.46145,60.306,1,1,0.0745842,2.23755,0.0092877,6.15821
14,58,32,0,2516.17,7.02651,53.2661,1.13773,-166.882,3,2,-0.309896,-9.29699,0.0521877,17.6927
14,58,32,0,266.418,0.760333,360,0,-379.207,0,0,-0.848266,-25.4482,0.00717776,4.87322
14,58,32,0,540.929,1.70516,63.366,2.73047,24.9134,4,2,1.18738,35.6219,0.015342,7.3424
14,58,32,0,660.366,1.83454,72.7659,9.62908,349.667,1,1,1.04557,31.3674,0.015682,7.51377
14,58,32,0,329.694,0.948132,52.5328,28.9522,-112.481,3,2,0.269224,8.0768,0.0126306,5.80915
14,58,314,0,482.387,1.34022,0,4.89362,194.989,1,0,-0.85721,-25.7166,0.0130505,4.68034
14,58,314,0,4647.83,12.9383,29.2997,2.61014,10.1099,1,1,0.031606,0.94819,0.111276,24.4057
14,58,318,0,236.834,0.658549,360,0,601.669,0,0,1.04028,31.2087,0.00602056,4.16139
14,58,318,0,822.033,2.28387,5.29995,13.8668,221.19,1,1,-0.103019,-3.0906,0.0181835,7.28048
14,58,318,0,714.14,1.98411,88.0325,4.15356,-237.19,1,1,0.39154,11.7463,0.0152091,6.25455
14,58,33,5,797.722,2.21715,101.532,15.0245,-75.9061,1,1,-0.453933,-13.6181,0.0228326,8.35473
14,58,33,5,419.955,1.16764,117.132,19.2464,-287.602,1,1,-0.33563,-10.069,0.014752,5.80749
14,58,33,5,875.395,2.44185,153.165,7.91347,-107.123,2,1,-2.20663,-66.1994,0.0144155,5.92685
14,58,33,5,844.351,2.69706,203.765,7.52311,205.37,5,3,0.855721,25.6719,0.0324527,9.93743
14,58,31,5,556.662,1.65708,127.865,5.65427,119.32,3,2,0.0322823,0.968478,0.0203117,6.85265
14,58,31,5,2073.47,5.77252,11.2666,11.8224,33.9653,2,1,-0.767267,-23.0182,0.0407935,20.2007
14,58,31,5,421.694,1.17193,360,0,214.128,0,0,0.526034,15.7812,0.00897462,6.09111
14,58,313,5,1655.59,4.59976,83.0325,14.0796,-35.6168,1,1,-0.304044,-9.1214,0.0301545,13.7595
14,58,313,5,2756.33,7.69358,42.0329,1.05448,180.18,3,2,0.357283,10.7186,0.0646739,20.872
14,58,313,5,1215.08,3.37619,46.7995,5.31964,128.736,1,1,0.543789,16.3138,0.0297381,10.5834
14,58,37,25,647.368,1.82308,54.1328,12.331,-42.6101,4,2,-1.31975,-39.5928,0.0322915,7.76565
14,58,37,25,399.3,1.11062,6.73327,1.03665,-241.945,1,1,-0.905468,-27.1643,0.00789751,5.28191
14,58,37,25,402.08,1.12503,360,0,347.705,0,0,0.16741,5.02234,0.0145674,5.26209
14,58,318,25,1317.67,3.67214,68.466,11.2942,350.184,3,2,0.43911,13.1734,0.0339612,9.42765
14,58,318,25,487.165,1.35551,329.163,0.462834,-356.323,1,1,-0.0369537,-1.10862,0.00960881,5.68272
14,58,313,25,2626.82,7.31372,118.032,1.97965,83.3168,3,2,0.538934,16.1682,0.0528054,16.1696
14,58,313,25,2110.63,5.86836,44.9329,1.39789,-140.631,1,1,-0.833791,-25.014,0.041992,12.6752
14,58,313,25,141.101,0.398108,360,0,-347.009,0,0,0.711847,21.3556,0.00020269,4.27198
14,58,313,25,762.315,2.11796,49.1995,0.93432,542.7,1,1,0.684302,20.5293,0.0119236,6.47475
14,58,313,25,1242.36,3.45424,0,4.20215,-249.854,1,0,0.770642,23.1195,0.0215664,9.74671
21,58,316,0,1194.53,3.32063,172.565,9.08923,257.345,1,1,0.148918,4.46759,0.034015,7.94802
21,58,316,0,438.035,1.21802,360,0,-191.091,0,0,-0.514672,-15.4403,0.0147134,4.95452
21,58,316,0,694.829,1.93135,360,0,-641.639,0,0,-2.71364,-81.41,0.0118345,4.84755
21,58,316,0,227.196,0.632512,159.198,0.0833102,412.573,2,1,2.89493,86.8486,0.00293857,3.14946
21,58,32,0,1970.28,5.48269,138.532,3.0087,34.9034,1,1,0.969434,29.0833,0.0591817,13.3875
21,58,32,0,1769.16,4.45637,107.199,1.66052,-132.209,1,1,-0.656799,-19.7042,0.0648716,11.0961
21,58,32,0,642.679,1.78606,61.2327,6.5501,-75.3269,1,1,-0.608652,-18.2598,0.0323695,6.74256
21,58,31,0,1177.57,3.27561,118.832,1.11039,-584.204,1,1,0.947978,28.4396,0.0433773,7.23713
